protocol,model,ME,MAE,RMSE,RMSSE,WRMSSE
fixed,TSB-HB-LogNormal,-0.552207362771997,5.766318913683397,17.693028386376344,4.78750355961817,1.1769313089026625
fixed,index,435232.02096364397,435232.0216138308,511910.0798627751,1492172.2960784768,117988.41229088897
fixed,CrostonClassic,0.20104496897758348,6.329355797698136,18.231956900224738,5.105115811899703,1.2020478963193095
fixed,CrostonSBA,-0.046752853265566996,6.195270419480055,18.163275348738797,5.069245444878042,1.199094116497991
fixed,TSB,-1.5750771788731366,5.5736146418416395,18.727223613099103,4.8030560825876405,1.217778575797501
fixed,ADIDA,-0.7602934418349734,5.686041980963009,17.96172430215992,4.796684785829392,1.1895998682482232
fixed,IMAPA,-0.7598785310459406,5.7000350628291585,17.996251804450345,4.796958686032548,1.1909710039943295
fixed,AutoTheta,-1.8087814909710578,8.2861679142448,22.471082049358476,4.855028769675066,1.394993438765997
fixed,AutoARIMA,-0.9626259567434876,6.557297085145148,20.145085111951996,4.817439444951769,1.2954232046172822
fixed,Hurdle-Local-LogNormal,-0.1144743900925521,5.993116000655835,17.75774447240383,4.791157446677025,1.178486353468863
fixed,Hurdle-Global-LogNormal,-0.7852698704605638,7.08608524379367,19.34111921826425,9.073975199079985,1.362513370871199
