model,ME,MAE,RMSE,RMSSE
ADIDA,-0.760293,5.686042,17.961724,4.796685
ARIMA,-0.624375,5.751487,17.707805,4.799956
CrostonClassic,0.201045,6.329356,18.231957,5.105116
CrostonSBA,-0.046753,6.19527,18.163275,5.069245
IMAPA,-0.759879,5.700035,17.996252,4.796959
TSB,-1.625463,5.578295,18.812599,4.804101
TSB–HB,-1.099343,5.518985,17.805409,4.789259
Theta,-1.515228,7.167489,20.080396,4.840408
