protocol,model,n_obs,Coverage@50,AIW@50,Coverage@80,AIW@80,CoverageGap@50,CoverageGap@80,pinball_mean,n_obs_pos,Coverage@50_pos,AIW@50_pos,Coverage@80_pos,AIW@80_pos,CoverageGap@50_pos,CoverageGap@80_pos,pinball_mean_pos,GoalScore@80,GoalScore@80_pos
fixed,AutoARIMA,716717,0.8641067534326659,10.867706181579619,0.9143692698791852,17.783359603196825,0.36410675343266585,0.11436926987918516,2.3404238156044306,186609,0.5941085371016404,20.039553715190266,0.7230144312439378,32.19676310300936,0.09410853710164035,0.07698556875606222,6.044419164414007,19.817229457013443,34.675449222598736
fixed,AutoTheta,716717,0.8497063694596333,13.16005833091977,0.9409460079780443,23.730154648422836,0.3497063694596333,0.14094600797804424,2.4918569430967614,186609,0.6054048840088099,25.2404640306071,0.7914302096897792,44.544179020015484,0.10540488400880987,0.00856979031022087,6.297888717134407,27.074825214819665,44.92591329375796
fixed,CP-ADIDA,716717,0.5582510251605585,0.9842090006218743,0.7748999953956722,4.897452143625984,0.05825102516055847,0.02510000460432782,2.4493356074237136,186609,0.09981833673617029,1.4520490838729743,0.4269836931766421,6.378489921203694,0.4001816632638297,0.37301630682335796,6.993557010647284,5.020378214980471,8.757770674721108
fixed,CP-CrostonClassic,716717,0.5871201603980372,1.5760400185004066,0.7812581534971265,5.345828839435176,0.08712016039803716,0.018741846502873583,2.521216947678196,186609,0.14052376895005064,2.219789656194706,0.44381031997384907,6.957580051550086,0.35947623104994936,0.356189680026151,6.943876908653857,5.446019542974504,9.435798263868042
fixed,CP-CrostonSBA,716717,0.5839822412472426,1.4926017528274895,0.7815469704220773,5.441908188000257,0.08398224124724263,0.01845302957792272,2.4911823550084633,186609,0.1324855714354613,2.098353188572365,0.44984968570647715,6.959325340466027,0.3675144285645387,0.3501503142935229,6.934364176676814,5.542327880753766,9.396135295701084
fixed,CP-IMAPA,716717,0.5561511726385728,0.9492865296340508,0.7757385411536213,4.896611894237667,0.05615117263857283,0.02426145884637876,2.463768080307078,186609,0.094754272301979,1.408190498193154,0.42600303307986215,6.379206462265695,0.40524572769802103,0.3739969669201379,7.017879985204706,5.0154108421964025,8.765010330510409
fixed,CP-TSB,716717,0.5781919502397739,0.6334809506428369,0.7934247408670367,4.7389973828702345,0.07819195023977388,0.006575259132963307,2.4989812232272177,186609,0.0656077681140781,0.9971034575924808,0.42451864593883465,6.055233598782719,0.4343922318859219,0.3754813540611654,7.4302585993968195,4.770157518693042,8.328860909610318
fixed,Hurdle-Global-LogNormal,716717,0.7396336350330744,0.0,0.8837644425903111,8.772398514106193,0.23963363503307444,0.08376444259031102,2.260742172760045,186609,0.0,0.0,0.5535692276363948,8.772398514106206,0.5,0.24643077236360522,8.184524729266782,9.50721358582037,10.93418745541874
fixed,Hurdle-Local-LogNormal,716717,0.8185797183546644,3.703258250180154,0.9012901884565316,11.077468829312796,0.31857971835466437,0.1012901884565316,1.91387177805323,186609,0.31381123096956737,8.50959168373619,0.620897170018595,22.84890290851662,0.18618876903043263,0.17910282998140503,6.571693170056375,12.199507734655244,26.941206081402303
fixed,TSB-HB,716717,0.7627445700325233,3.266400671877935,0.8454410876259388,10.030298019071894,0.2627445700325233,0.04544108762593879,1.9192458712396743,186609,0.29015213628495945,7.513334327715881,0.6077681140780992,20.511650494837223,0.20984786371504055,0.19223188592190088,6.659718454458849,10.486085670270821,24.454643752830673
