protocol,model,n_obs,Coverage@50,AIW@50,Coverage@80,AIW@80,CoverageGap@50,CoverageGap@80
fixed,AutoARIMA,716717,0.8641067534326659,10.867706181579619,0.9143692698791852,17.783359603196825,0.36410675343266585,0.11436926987918516
fixed,AutoTheta,716717,0.8497063694596333,13.16005833091977,0.9409460079780443,23.730154648422836,0.3497063694596333,0.14094600797804424
fixed,CP-ADIDA,716717,0.5582510251605585,0.9842090006218743,0.7748999953956722,4.897452143625984,0.05825102516055847,0.02510000460432782
fixed,CP-CrostonClassic,716717,0.5871201603980372,1.5760400185004066,0.7812581534971265,5.345828839435176,0.08712016039803716,0.018741846502873583
fixed,CP-CrostonSBA,716717,0.5839822412472426,1.4926017528274895,0.7815469704220773,5.441908188000257,0.08398224124724263,0.01845302957792272
fixed,CP-IMAPA,716717,0.5561511726385728,0.9492865296340508,0.7757385411536213,4.896611894237667,0.05615117263857283,0.02426145884637876
fixed,CP-TSB,716717,0.5781919502397739,0.6334809506428369,0.7934247408670367,4.7389973828702345,0.07819195023977388,0.006575259132963307
fixed,Hurdle-Global-LogNormal,716717,0.7396336350330744,0.0,0.8837644425903111,8.772398514106193,0.23963363503307444,0.08376444259031102
fixed,Hurdle-Local-LogNormal,716717,0.8185797183546644,3.703258250180154,0.9012901884565316,11.077468829312796,0.31857971835466437,0.1012901884565316
fixed,TSB-HB,716717,0.7627445700325233,3.266400671877935,0.8454410876259388,10.030298019071894,0.2627445700325233,0.04544108762593879
