model,ME,MAE,RMSE,RMSSE,WRMSSE
CrostonClassic,0.10424412535055659,1.2344984743031402,2.9737732928816882,2.3539400089992895,1.1393273559855255
CrostonSBA,0.034057717938689766,1.2076000920688217,2.8899912524842954,2.3517080454692136,1.1127849930391824
TSB,-0.033926780487313096,1.267180823767668,3.2057254399635444,2.361239336588348,1.2273536671612584
ADIDA,0.017963240166646032,1.2273857172001617,3.0669331590336424,2.3398066576298984,1.1735693193755568
IMAPA,0.022653943276672788,1.231730969149703,3.091549825532572,2.327961261252078,1.1804975199473486
TSB-HB-NoHierarchy,-0.19674687325240497,1.1771421114244898,2.8285584949693847,2.375928294228165,1.1037869787310708
TSB-HB-Hierarchy,-0.17920495651814308,1.1823558987451535,2.860842000011591,2.375952556807914,1.1118541896693726
Hurdle-Local-LogNormal,-0.1443353422047898,1.1912833087199868,2.827198086457159,2.3777855168856656,1.1015358818912835
Hurdle-Global-LogNormal,-0.3021407496591712,1.5111237264236017,3.8320484374572907,2.9094631194442284,1.457572478386689
